ID,OriginalAmount,Term,YearlyInterestRate,CurrentInstallment,PD
5624,1872,20,24%,18,6.75%
5625,4022,47,29%,37,0.54%
5626,10619,11,30%,7,67.84%
5627,7699,35,10%,5,51.85%
5628,13526,63,11%,61,2.16%
5629,7584,35,14%,15,0.82%
5630,1803,59,9%,53,0.00%
5631,1261,23,13%,21,0.20%
5632,13046,12,21%,3,3.55%
5633,43761,11,8%,4,0.01%
5634,2756,11,29%,7,75.92%
5635,9265,22,14%,2,56.92%
5636,8921,33,24%,2,60.38%
5637,15736,23,23%,6,1.69%
5638,8634,35,30%,11,45.17%
5639,5141,23,24%,5,0.10%
5640,5324,59,30%,27,16.29%
5641,2744,23,15%,9,96.93%
5642,2533,22,21%,11,20.29%
5643,1767,22,25%,15,96.84%
5644,15992,23,25%,14,80.20%
5645,3569,23,10%,7,2.74%
5646,8208,24,30%,6,0.00%
5647,6498,58,28%,6,0.08%
5648,3430,23,19%,1,53.67%
5649,55849,11,31%,2,13.55%
5650,10139,33,5%,20,2.35%
5651,19355,48,32%,41,1.73%
5652,33699,47,18%,20,39.27%
5653,7074,25,19%,11,6.44%
5654,3769,20,5%,8,10.21%
5655,6442,23,11%,7,3.94%
5656,2045,46,8%,14,43.81%
5657,3057,11,22%,9,4.38%
5658,1638,47,29%,38,9.81%
5659,12396,22,10%,17,42.71%
5660,7695,22,11%,6,3.86%
5661,14608,34,7%,17,13.90%
5662,6306,36,24%,1,35.94%
5663,10864,23,7%,18,2.71%
5664,20704,23,28%,14,54.68%
5665,2641,21,9%,5,23.61%
5666,13474,34,12%,27,62.34%
5667,4492,35,26%,28,6.40%
5668,27184,23,14%,20,8.05%
5669,2351,23,32%,4,32.92%
5670,4606,18,28%,8,0.24%
5671,5471,17,12%,8,0.03%
5672,6581,24,25%,1,0.03%
5673,8414,23,29%,3,99.10%
5674,3478,17,18%,3,3.42%
5675,35900,23,11%,20,2.89%
5676,6749,23,29%,5,5.24%
5677,3482,20,12%,9,42.22%
5678,3541,19,15%,17,0.04%
5679,35521,23,32%,3,30.14%
5680,8910,29,18%,9,82.14%
5681,3936,12,18%,5,0.19%
5682,7773,31,32%,13,31.50%
5683,2680,19,12%,8,0.00%
5684,4023,22,26%,3,0.00%
5685,7465,35,31%,32,0.17%
5686,10565,35,20%,22,10.28%
5687,26473,11,10%,9,0.14%
5688,13580,46,9%,25,86.65%
5689,12909,42,27%,13,5.46%
5690,1449,36,22%,14,10.50%
5691,13136,23,25%,6,15.69%
5692,17833,23,7%,8,0.06%
5693,4460,23,9%,21,91.13%
5694,4376,48,25%,7,80.45%
5695,13367,25,21%,1,0.01%
5696,1852,23,24%,1,85.31%
5697,5994,42,21%,23,53.59%
5698,2635,34,32%,22,0.14%
5699,1694,22,19%,15,37.75%
5700,5531,35,19%,19,86.32%
5701,3876,13,26%,1,16.52%
5702,10706,47,6%,16,27.99%
5703,4246,12,8%,2,1.78%
5704,11774,23,19%,15,8.17%
5705,8335,48,8%,41,19.60%
5706,2911,24,20%,7,0.37%
5707,6872,22,20%,19,1.28%
5708,9791,23,19%,1,9.17%
5709,3287,22,27%,3,26.81%
5710,6724,22,16%,14,0.36%
5711,4163,60,32%,36,0.54%
5712,9490,22,15%,19,0.70%
5713,2315,21,11%,18,0.86%
5714,8218,23,31%,20,0.31%
5715,2017,23,26%,16,6.45%
5716,2644,19,29%,10,2.32%
5717,3271,27,27%,13,0.00%
5718,6621,35,30%,11,12.90%
5719,111707,22,16%,1,46.42%
5720,5097,21,32%,10,9.14%
5721,10727,24,7%,8,20.06%
5722,5366,24,16%,15,8.92%
5723,33519,31,17%,16,30.90%
5724,6241,34,16%,32,7.00%
5725,15549,11,25%,7,0.03%
5726,5122,23,16%,12,1.64%
5727,4176,11,11%,5,1.65%
5728,4655,47,13%,29,86.90%
5729,20187,23,29%,12,0.82%
5730,1313,23,29%,7,33.04%
5731,2460,24,23%,10,8.38%
5732,3615,43,24%,10,0.11%
5733,2009,47,29%,31,93.82%
5734,2082,33,23%,18,9.59%
5735,1295,23,23%,5,29.03%
5736,57532,22,32%,1,40.80%
5737,4152,36,15%,32,1.95%
5738,25765,47,10%,19,42.63%
5739,1689,22,9%,9,61.26%
5740,6916,21,30%,19,17.77%
5741,7337,21,22%,12,38.44%
5742,3523,21,20%,14,2.90%
5743,3799,12,26%,5,5.81%
5744,1367,51,18%,39,35.35%
5745,2039,24,26%,21,86.22%
5746,1592,22,19%,10,4.25%
5747,1980,46,11%,40,60.45%
5748,1850,23,7%,1,29.33%
5749,12057,58,5%,39,89.41%
5750,2834,23,8%,4,14.65%
5751,7614,46,19%,16,4.84%
5752,4977,11,13%,4,13.63%
5753,13509,17,30%,15,43.91%
5754,12471,23,10%,16,24.33%
5755,1722,23,27%,12,55.01%
5756,4577,33,28%,8,1.53%
5757,3317,35,9%,30,17.31%
5758,2548,42,14%,24,66.45%
5759,3822,12,14%,2,3.23%
5760,2386,22,7%,6,0.00%
5761,7862,19,19%,10,18.30%
5762,2267,59,27%,24,2.70%
5763,2538,12,15%,2,91.36%
5764,25044,35,16%,23,38.22%
5765,3047,12,20%,5,7.01%
5766,8794,58,20%,17,43.16%
5767,1154,11,26%,3,1.02%
5768,1676,11,6%,7,32.65%
5769,14774,23,22%,8,0.02%
5770,1241,21,28%,16,0.14%
5771,3484,21,28%,8,0.03%
5772,5290,23,31%,9,9.32%
5773,8029,38,20%,29,37.20%
5774,10326,58,22%,27,0.03%
5775,3677,11,15%,5,24.36%
5776,9254,11,22%,6,0.19%
5777,9621,22,22%,6,16.53%
5778,1543,47,30%,28,0.09%
5779,4094,23,26%,1,20.21%
5780,1361,11,5%,2,1.64%
5781,2567,11,16%,3,46.75%
5782,4827,23,28%,11,21.73%
5783,2391,48,10%,16,20.36%
5784,23638,23,25%,2,10.67%
5785,4100,36,21%,34,0.17%
5786,4704,22,28%,18,0.01%
5787,13803,23,29%,13,40.55%
5788,9299,34,13%,1,0.04%
5789,123400,24,28%,14,0.37%
5790,67426,23,22%,21,89.43%
5791,4106,12,15%,1,93.46%
5792,12645,60,15%,30,28.08%
5793,14587,23,7%,21,27.19%
5794,13367,23,19%,16,24.21%
5795,3398,22,28%,12,0.40%
5796,2214,23,12%,17,0.01%
5797,6579,46,18%,3,0.32%
5798,2579,21,5%,15,33.76%
5799,17540,47,28%,8,19.91%
5800,21507,23,6%,6,9.86%
5801,3385,21,6%,19,0.35%
5802,3645,22,25%,8,29.77%
5803,12117,23,29%,10,57.36%
5804,12946,30,18%,2,39.39%
5805,5049,12,19%,1,10.49%
5806,28301,23,28%,3,63.70%
5807,3168,46,11%,6,0.10%
5808,2853,23,15%,4,89.75%
5809,9370,23,7%,6,14.09%
5810,1600,22,19%,5,4.63%
5811,12274,25,26%,2,0.05%
5812,1520,23,17%,4,29.29%
5813,1268,24,22%,2,15.07%
5814,1710,12,26%,3,13.50%
5815,3290,22,19%,5,6.45%
5816,3811,35,19%,31,0.18%
5817,7938,34,11%,29,4.79%
5818,33230,22,29%,16,0.00%
5819,6159,23,10%,7,8.21%
5820,14365,47,28%,31,6.45%
5821,3324,11,28%,6,3.02%
5822,4943,24,5%,5,49.31%
5823,1262,28,15%,20,10.25%
5824,18399,47,11%,15,60.58%
5825,8011,34,22%,14,0.06%
5826,54002,60,28%,27,1.54%
5827,11809,36,16%,22,1.74%
5828,2479,19,21%,2,58.94%
5829,2922,35,6%,27,0.23%
5830,2073,23,12%,4,16.42%
5831,5120,35,18%,15,22.57%
5832,12033,25,25%,17,44.77%
5833,4553,46,16%,17,17.44%
5834,3388,23,13%,18,0.19%
5835,10117,21,22%,2,42.12%
5836,6717,22,28%,13,81.07%
5837,112479,23,21%,7,7.05%
5838,2586,19,28%,5,2.39%
5839,2511,25,6%,5,11.88%
5840,13585,29,20%,16,25.87%
5841,12957,36,30%,16,0.22%
5842,3677,22,12%,7,17.92%
5843,9949,35,32%,4,8.85%
5844,21965,16,19%,10,14.21%
5845,9365,40,24%,2,25.28%
5846,42532,23,29%,4,11.52%
5847,50690,11,18%,1,33.04%
5848,61900,20,11%,16,11.37%
5849,16207,13,21%,6,14.16%
5850,57502,22,14%,13,9.58%
5851,8280,22,25%,10,0.04%
5852,8332,34,11%,32,95.90%
5853,13430,58,10%,52,1.05%
5854,7912,22,17%,12,14.45%
5855,3481,23,7%,16,22.85%
5856,2179,12,16%,1,0.03%
5857,7364,20,32%,8,0.00%
5858,4460,46,11%,31,0.01%
5859,13199,34,24%,17,10.84%
5860,9017,23,22%,11,0.78%
5861,2321,24,8%,12,3.46%
5862,6545,36,10%,18,29.71%
5863,5064,60,16%,17,3.12%
5864,1786,23,16%,3,12.78%
5865,8918,35,25%,30,39.39%
5866,17934,35,20%,12,6.76%
5867,1163,12,14%,2,0.00%
5868,38872,35,19%,20,5.84%
5869,9767,11,27%,2,42.59%
5870,2039,23,13%,17,15.80%
5871,4316,28,32%,24,7.96%
5872,1288,55,8%,2,5.94%
5873,6241,24,12%,20,0.12%
5874,3089,19,32%,8,9.61%
5875,3357,47,23%,40,26.38%
5876,1355,13,25%,8,83.51%
5877,5207,11,10%,9,22.66%
5878,3591,24,25%,13,26.67%
5879,3085,22,23%,17,1.05%
5880,8108,35,7%,4,0.06%
5881,1263,24,12%,21,0.13%
5882,1241,59,24%,55,26.03%
5883,2141,23,17%,18,0.04%
5884,13232,22,14%,12,99.40%
5885,10487,11,11%,3,5.80%
5886,5091,58,32%,1,0.69%
5887,2976,47,7%,7,32.80%
5888,2131,11,11%,8,93.28%
5889,9038,35,18%,22,38.46%
5890,2283,14,21%,8,0.08%
5891,8172,35,28%,18,51.76%
5892,20862,23,26%,17,9.65%
5893,3348,23,13%,14,3.20%
5894,4554,33,24%,2,2.20%
5895,2204,11,21%,1,0.09%
5896,22535,47,23%,45,0.58%
5897,4989,23,10%,21,84.57%
5898,13101,36,31%,3,3.63%
5899,1486,58,22%,39,1.85%
5900,3565,23,32%,19,6.29%
5901,2183,12,32%,7,1.41%
5902,3708,22,26%,7,11.94%
5903,6368,35,5%,4,17.23%
5904,12758,45,18%,29,90.12%
5905,1546,12,10%,6,28.30%
5906,6679,58,21%,51,60.58%
5907,3098,21,26%,7,10.26%
5908,1238,23,21%,16,0.00%
5909,5424,22,12%,4,2.34%
5910,3115,33,23%,11,7.93%
5911,2750,45,27%,5,50.83%
5912,13353,55,5%,1,1.75%
5913,2591,33,21%,28,9.99%
5914,4000,24,20%,8,0.74%
5915,6262,20,15%,10,2.04%
5916,8126,37,30%,29,76.54%
5917,5619,24,21%,10,57.77%
5918,5401,33,27%,20,49.36%
5919,2767,34,32%,26,0.05%
5920,7727,50,24%,30,40.76%
5921,4696,23,26%,14,3.11%
5922,34747,22,14%,11,34.63%
5923,8855,32,10%,5,43.42%
5924,23279,47,26%,36,29.74%
5925,18399,35,9%,32,0.60%
5926,26944,46,14%,13,35.54%
5927,3438,24,5%,16,61.78%
5928,3613,23,18%,7,72.45%
5929,3477,11,7%,1,88.91%
5930,3793,32,32%,10,39.41%
5931,3198,12,25%,4,1.30%
5932,5403,33,31%,18,0.18%
5933,20296,33,28%,22,1.62%
5934,2207,12,13%,6,26.38%
5935,3986,21,12%,11,82.57%
5936,7910,22,26%,7,3.13%
5937,7242,35,10%,17,4.65%
5938,1271,35,5%,14,34.91%
5939,27069,22,26%,8,89.96%
5940,2795,24,19%,22,38.56%
5941,5751,36,30%,3,56.44%
5942,3533,23,6%,17,5.63%
5943,2975,11,18%,8,1.81%
5944,11711,35,7%,2,1.33%
5945,5800,12,24%,3,0.78%
5946,2639,46,28%,19,36.05%
5947,15006,22,27%,6,0.00%
5948,6068,22,7%,9,6.52%
5949,2827,22,22%,2,8.51%
5950,1466,45,31%,15,62.56%
5951,12827,32,25%,2,7.90%
5952,8841,43,12%,13,15.38%
5953,10324,43,31%,30,1.50%
5954,4096,33,25%,13,26.06%
5955,6710,35,23%,7,0.64%
5956,8057,36,7%,2,10.51%
5957,1486,48,8%,19,2.49%
5958,1969,24,15%,18,19.62%
5959,3026,23,7%,16,0.18%
5960,3188,23,19%,7,1.63%
5961,1523,35,7%,15,0.00%
5962,45478,47,29%,36,61.21%
5963,12917,20,16%,2,0.00%
5964,2532,46,18%,2,0.12%
5965,6966,22,31%,5,98.16%
5966,6683,32,31%,29,0.00%
5967,1673,22,24%,8,84.45%
5968,1490,46,23%,17,21.62%
5969,6612,22,15%,9,4.00%
5970,2991,34,16%,24,20.35%
5971,3736,36,11%,8,0.87%
5972,20354,23,27%,10,31.30%
5973,4778,36,25%,1,0.22%
5974,5530,46,15%,43,4.97%
5975,10832,22,12%,15,67.10%
5976,4633,22,23%,10,0.08%
5977,18625,47,14%,30,40.36%
5978,4245,35,24%,29,1.68%
5979,13792,59,8%,57,7.05%
5980,4055,22,13%,15,65.73%
5981,6967,24,11%,5,94.93%
5982,8935,34,27%,19,95.62%
5983,32831,36,9%,21,56.81%
5984,4488,22,11%,17,73.84%
5985,6835,23,24%,8,2.67%
5986,4378,23,28%,18,17.34%
5987,2733,23,27%,16,5.41%
5988,26245,47,7%,32,59.41%
5989,3711,11,12%,9,33.09%
5990,2676,21,26%,10,5.06%
5991,13216,20,20%,4,0.62%
5992,5935,22,14%,1,81.71%
5993,7116,35,21%,14,24.48%
5994,2257,21,15%,11,38.20%
5995,6766,36,7%,32,48.53%
5996,1997,13,30%,2,17.86%
5997,6478,35,24%,27,31.01%
5998,4101,33,10%,11,11.07%
5999,12233,46,24%,33,18.70%
6000,3735,21,25%,15,0.01%
6001,5420,11,15%,8,0.92%
6002,1735,35,20%,24,0.03%
6003,20467,22,5%,19,4.59%
6004,1380,24,6%,8,0.04%
6005,8020,13,28%,3,0.00%
6006,3503,12,21%,8,2.82%
6007,5091,23,7%,1,9.76%
6008,23116,23,29%,14,2.62%
6009,2705,23,16%,14,77.55%
6010,4150,47,7%,12,62.04%
6011,6308,48,5%,3,76.37%
6012,6148,46,20%,26,30.98%
6013,16528,14,19%,4,68.94%
6014,4623,13,28%,9,38.83%
6015,1835,22,20%,15,31.50%
6016,8393,40,26%,27,30.50%
6017,16675,23,13%,2,3.15%
6018,9214,34,27%,4,48.24%
6019,6524,47,9%,21,0.03%
6020,11109,22,7%,1,64.96%
6021,7206,23,8%,7,11.67%
6022,2881,58,29%,3,60.27%
6023,1498,24,22%,7,72.01%
6024,11902,48,11%,42,99.87%
6025,3599,34,9%,6,7.22%
6026,3320,47,9%,15,95.37%
6027,5023,20,15%,4,0.50%
6028,1539,24,27%,4,75.91%
6029,6008,34,30%,15,6.54%
6030,18451,15,32%,8,5.17%
6031,7471,23,26%,20,9.87%
6032,2170,34,32%,31,22.35%
6033,16269,35,22%,27,26.77%
6034,11151,23,14%,9,50.87%
6035,2562,22,12%,17,17.89%
6036,21557,23,6%,7,74.35%
6037,2279,11,26%,8,1.77%
6038,2438,23,27%,14,14.89%
6039,12404,58,18%,7,25.86%
6040,1522,11,22%,1,73.15%
6041,20229,23,24%,14,0.36%
6042,3475,11,31%,2,9.69%
6043,4053,23,8%,7,28.18%
6044,17572,23,21%,11,8.33%
6045,8188,35,23%,23,0.12%
6046,2624,11,7%,1,0.01%
6047,77940,22,15%,18,7.97%
6048,5232,22,13%,20,44.74%
6049,4024,23,14%,14,10.06%
6050,3473,29,29%,17,0.97%
6051,3136,22,19%,7,8.92%
6052,6329,19,17%,8,41.72%
6053,55849,23,27%,1,4.71%
6054,1632,11,27%,2,2.53%
6055,3666,23,10%,1,3.63%
6056,3850,11,17%,7,9.14%
6057,12721,23,23%,1,65.52%
6058,2064,12,14%,10,0.39%
6059,3976,22,14%,3,5.47%
6060,12225,23,24%,5,0.82%
6061,5530,34,14%,30,1.78%
6062,1649,12,32%,2,24.98%
6063,9297,17,21%,2,62.13%
6064,5465,23,13%,3,16.87%
6065,7753,35,16%,12,77.90%
6066,11005,23,25%,3,3.67%
6067,1740,46,25%,32,0.55%
6068,7877,23,31%,21,75.22%
6069,4391,36,7%,5,44.38%
6070,72448,23,24%,21,8.35%
6071,4162,23,15%,11,24.58%
6072,4166,36,27%,28,6.82%
6073,2699,12,31%,8,66.97%
6074,8392,46,28%,9,0.00%
6075,4858,45,16%,15,0.55%
6076,4375,33,28%,10,0.01%
6077,3372,21,19%,11,93.57%
6078,8067,39,30%,1,7.10%
6079,2239,21,11%,19,0.12%
6080,26687,21,24%,17,0.07%
6081,19791,12,21%,5,0.00%
6082,4362,23,6%,15,17.77%
6083,6082,18,27%,3,53.07%
6084,4218,23,9%,5,6.03%
6085,1190,22,21%,5,0.02%
6086,3193,22,26%,17,39.66%
6087,8506,46,28%,41,27.13%
6088,50992,48,27%,35,6.98%
6089,31986,23,6%,20,3.42%
6090,8879,23,10%,2,39.83%
6091,7525,48,6%,40,42.81%
6092,47067,22,15%,7,60.80%
6093,3716,20,27%,9,0.01%
6094,6740,47,15%,41,0.10%
6095,34807,22,8%,20,7.16%
6096,1271,11,27%,2,16.10%
6097,8039,35,27%,19,2.70%
6098,81107,15,17%,7,48.73%
6099,2922,12,10%,5,67.67%
6100,10238,23,12%,10,7.39%
6101,1733,22,26%,1,1.14%
6102,5441,47,13%,33,14.46%
6103,13411,47,18%,44,0.03%
6104,4397,23,30%,19,27.14%
6105,9653,35,14%,6,82.02%
6106,7184,34,8%,4,60.54%
6107,11284,58,21%,34,47.35%
6108,10928,22,8%,10,10.15%
6109,1642,24,5%,2,27.44%
6110,4138,12,22%,10,6.29%
6111,2741,24,11%,9,3.70%
6112,1584,17,30%,3,63.60%
6113,4862,12,12%,8,39.68%
6114,10130,47,32%,26,0.69%
6115,8459,21,20%,6,81.45%
6116,6739,34,31%,4,0.04%
6117,2481,48,11%,31,0.07%
6118,4058,36,7%,21,80.65%
6119,2621,24,16%,16,42.90%
6120,8111,34,16%,18,9.12%
6121,7093,23,26%,11,6.39%
6122,10990,20,29%,18,0.06%
6123,21227,22,28%,13,15.74%
6124,17152,22,11%,20,72.55%
6125,2455,12,31%,10,32.71%
6126,9703,35,10%,29,48.32%
6127,2218,23,27%,8,10.40%
6128,2178,23,8%,16,0.00%
6129,2294,23,16%,1,71.91%
6130,5203,23,28%,21,1.11%
6131,3248,34,24%,20,84.94%
6132,33098,34,12%,28,5.26%
6133,10487,28,7%,7,86.76%
6134,6137,22,12%,7,83.55%
6135,2647,24,10%,5,10.93%
6136,27425,42,6%,14,40.81%
6137,48934,23,12%,21,0.35%
6138,2823,12,15%,8,2.24%
6139,8768,35,9%,7,0.40%
6140,3564,20,20%,8,86.35%
6141,3871,12,32%,9,0.49%
6142,1711,21,15%,1,8.41%
6143,10659,24,13%,15,3.22%
6144,6401,35,28%,9,3.40%
6145,24028,22,10%,14,13.19%
6146,25569,31,26%,26,3.13%
6147,2380,31,18%,10,0.00%
6148,4988,32,11%,25,81.39%
6149,18290,66,8%,15,18.82%
6150,3532,22,32%,17,49.50%
6151,3505,22,16%,11,0.03%
6152,1896,22,14%,5,2.78%
6153,9038,35,21%,32,22.38%
6154,6003,23,20%,8,0.01%
6155,13715,22,17%,13,59.31%
6156,12006,35,29%,19,1.81%
6157,2911,23,25%,2,6.22%
6158,2635,22,8%,7,93.30%
6159,15327,29,23%,14,3.33%
6160,3859,23,22%,6,2.61%
6161,12326,24,6%,3,42.34%
6162,7256,23,6%,10,0.01%
6163,4719,32,12%,8,0.08%
6164,26840,34,7%,25,0.14%
6165,8695,34,12%,13,7.61%
6166,2748,23,26%,15,16.14%
6167,7698,12,23%,8,0.23%
6168,41641,48,18%,38,56.83%
6169,9202,46,9%,25,36.35%
6170,1996,48,31%,2,0.42%
6171,2876,19,24%,7,30.56%
6172,46265,22,10%,9,2.77%
6173,3776,23,17%,8,0.43%
6174,12218,23,14%,14,0.13%
6175,2724,18,25%,14,54.51%
6176,2969,47,19%,5,15.28%
6177,4977,12,5%,2,3.34%
6178,3161,24,28%,9,42.34%
6179,26547,31,18%,19,87.00%
6180,5310,45,8%,26,0.00%
6181,12871,35,22%,7,77.61%
6182,2592,24,32%,19,1.49%
6183,1455,23,29%,16,0.34%
6184,1864,44,24%,17,63.88%
6185,2456,23,21%,12,14.45%
6186,5194,35,10%,27,43.53%
6187,5275,33,24%,27,11.72%
6188,2996,18,11%,10,4.49%
6189,14224,47,9%,9,95.21%
6190,7938,23,17%,3,51.16%
6191,5300,23,14%,9,0.67%
6192,23662,23,15%,14,56.93%
6193,9235,24,9%,12,85.31%
6194,6768,23,32%,4,13.67%
6195,4740,15,11%,6,0.00%
6196,13034,35,27%,30,1.42%
6197,10622,36,11%,19,40.31%
6198,6709,24,5%,20,1.99%
6199,3590,24,13%,13,2.08%
6200,3113,22,32%,20,66.37%
6201,5287,11,6%,7,19.65%
6202,16335,48,10%,9,0.08%
6203,2071,22,26%,13,16.96%
6204,11713,20,23%,3,0.01%
6205,1509,34,27%,31,0.00%
6206,7368,36,25%,14,43.78%
6207,6843,21,13%,16,41.81%
6208,7437,46,29%,4,0.46%
6209,5683,24,15%,2,12.38%
6210,5798,34,24%,18,13.73%
6211,4531,47,8%,16,33.75%
6212,65431,23,11%,2,84.04%
6213,5375,21,25%,17,95.51%
6214,5922,32,20%,17,1.08%
6215,5399,49,21%,26,19.88%
6216,10183,17,25%,13,80.86%
6217,3879,18,15%,4,0.00%
6218,19999,36,12%,6,0.00%
6219,2129,23,16%,11,12.31%
6220,8267,12,27%,6,30.08%
6221,6887,41,11%,22,14.08%
6222,2166,23,29%,18,13.05%
6223,16459,23,9%,18,0.26%
6224,4594,31,7%,15,55.34%
6225,26417,48,15%,29,0.04%
6226,1471,21,25%,13,4.92%
6227,2112,11,28%,2,0.08%
6228,7033,35,28%,8,34.11%
6229,8517,27,28%,11,0.65%
6230,1550,23,19%,16,0.61%
6231,5424,11,30%,3,22.57%
6232,1924,11,31%,4,0.00%
6233,25904,23,27%,17,9.70%
6234,8055,47,11%,34,11.05%
6235,1166,35,5%,30,1.70%
6236,17022,45,14%,2,0.00%
6237,2437,19,29%,11,1.88%
6238,1810,21,20%,8,23.49%
6239,1843,11,29%,1,14.06%
6240,7976,47,21%,38,2.16%
6241,1580,13,25%,1,2.01%
6242,22403,24,19%,12,11.46%
6243,2491,19,27%,11,11.36%
6244,7614,43,16%,21,5.67%
6245,21618,46,7%,16,81.55%
6246,4029,35,9%,14,83.86%
6247,6809,24,9%,9,4.99%
6248,6389,24,28%,16,4.90%
6249,4511,22,26%,10,2.84%
6250,5088,23,8%,8,1.77%
6251,2848,35,16%,18,0.02%
6252,5549,23,24%,2,42.29%
6253,1261,11,13%,1,4.00%
6254,13182,35,28%,32,1.35%
6255,4930,12,25%,4,57.09%
6256,7185,24,22%,1,29.98%
6257,4738,23,14%,18,18.81%
6258,33923,23,8%,1,10.36%
6259,4048,33,29%,8,37.82%
6260,7013,35,19%,11,2.53%
6261,2439,23,28%,18,0.97%
6262,6234,35,28%,5,34.14%
6263,2843,23,32%,14,16.93%
6264,8007,23,30%,6,13.21%
6265,3616,23,27%,15,9.71%
6266,2490,12,23%,8,62.19%
6267,17026,12,31%,5,1.36%
6268,1768,22,32%,18,0.00%
6269,1788,58,19%,39,0.37%
6270,2520,22,24%,18,0.07%
6271,2413,22,14%,19,23.85%
6272,2121,21,17%,11,56.98%
6273,5861,22,11%,18,6.22%
6274,3704,21,6%,5,9.54%
6275,7071,23,25%,18,0.30%
6276,7172,58,13%,37,58.37%
6277,5874,32,25%,29,47.94%
6278,3473,12,25%,9,28.44%
6279,7519,35,29%,15,19.29%
6280,3553,23,24%,15,75.06%
6281,15300,43,25%,8,1.20%
6282,10394,23,22%,4,14.18%
6283,9394,23,6%,5,0.27%
6284,2208,23,17%,3,0.00%
6285,1238,22,22%,2,1.34%
6286,1499,23,16%,17,11.42%
6287,4082,23,8%,9,0.17%
6288,6437,35,31%,6,10.14%
6289,9752,59,16%,31,8.94%
6290,6719,23,30%,20,0.21%
6291,12409,24,15%,19,7.62%
6292,6067,23,22%,21,2.15%
6293,26304,25,27%,23,52.77%
6294,2237,22,10%,18,0.54%
6295,3938,21,24%,5,26.14%
6296,1178,12,28%,10,6.34%
6297,29409,23,5%,9,4.66%
6298,2906,23,10%,13,12.50%
6299,1880,11,8%,9,4.45%
6300,2512,46,12%,20,0.00%
6301,18826,47,27%,41,0.14%
6302,2093,23,29%,8,71.07%
6303,7442,46,23%,14,0.46%
6304,6043,41,8%,17,32.91%
6305,2920,11,9%,3,98.02%
6306,3035,23,23%,10,11.03%
6307,2265,23,13%,20,66.29%
6308,7349,35,30%,28,0.19%
6309,8831,36,20%,31,81.21%
6310,1186,22,28%,16,0.00%
6311,6710,23,14%,13,4.02%
6312,7281,23,18%,21,6.15%
6313,2620,22,30%,8,0.62%
6314,5435,17,6%,15,1.70%
6315,24119,23,31%,14,57.14%
6316,9297,35,9%,23,54.69%
6317,4540,22,12%,8,0.39%
6318,7616,28,28%,4,74.22%
6319,27571,22,7%,15,33.50%
6320,3202,23,12%,17,5.37%
6321,4713,35,7%,28,32.40%
6322,7323,23,7%,10,0.04%
6323,4908,19,5%,5,15.36%
6324,26732,18,7%,3,0.00%
6325,13613,23,29%,5,90.72%
6326,2326,23,32%,21,5.08%
6327,12753,22,14%,20,2.37%
6328,7926,34,24%,24,36.94%
6329,4955,34,27%,25,1.69%
6330,23279,23,29%,12,21.30%
6331,3368,23,28%,3,66.82%
6332,9171,24,18%,7,7.70%
6333,4803,35,13%,21,3.48%
6334,4852,35,8%,4,22.25%
6335,5451,24,7%,11,76.29%
6336,1278,11,7%,1,0.88%
6337,1212,35,13%,28,56.98%
6338,3800,23,7%,21,3.45%
6339,7827,34,22%,27,80.52%
6340,11943,19,27%,1,16.25%
6341,19997,22,17%,5,0.22%
6342,13501,36,25%,31,91.31%
6343,5430,23,24%,16,14.64%
6344,5027,23,21%,16,26.91%
6345,7988,22,17%,9,2.84%
6346,2109,11,6%,8,65.82%
6347,38555,23,24%,14,0.00%
6348,2523,24,25%,12,27.66%
6349,4254,23,27%,9,68.35%
6350,2719,23,19%,12,22.68%
6351,9878,47,19%,11,14.18%
6352,39346,46,26%,28,22.16%
6353,12606,25,21%,17,16.30%
6354,12034,22,22%,1,0.00%
6355,26500,37,27%,21,0.15%
6356,7994,45,13%,2,93.67%
6357,7553,19,10%,4,35.85%
6358,2802,24,10%,10,4.38%
6359,17026,12,31%,6,26.83%
6360,8423,46,26%,31,14.52%
6361,10216,11,17%,9,54.87%
6362,5385,46,21%,26,82.48%
6363,9720,24,25%,8,1.77%
6364,4738,36,22%,16,0.07%
6365,8488,24,7%,4,10.03%
6366,27280,24,21%,22,2.53%
6367,7603,11,21%,8,10.86%
6368,1497,22,25%,20,0.02%
6369,5572,47,26%,30,9.95%
6370,2342,12,19%,9,5.41%
6371,23676,35,6%,26,15.55%
6372,2716,23,16%,9,5.91%
6373,12759,62,31%,25,0.04%
6374,3834,23,22%,14,0.20%
6375,7127,22,9%,6,0.71%
6376,3278,23,18%,4,15.28%
6377,3705,23,8%,21,27.25%
6378,31101,23,20%,14,6.96%
6379,24381,24,21%,16,6.78%
6380,10926,34,28%,18,18.09%
6381,16389,24,25%,20,74.05%
6382,2248,22,6%,8,18.60%
6383,2418,24,9%,2,73.30%
6384,1962,12,26%,3,34.30%
6385,1574,11,9%,2,43.25%
6386,1752,11,31%,1,64.38%
6387,10230,59,30%,32,0.00%
6388,3749,23,31%,20,2.53%
6389,4624,22,27%,4,52.85%
6390,1339,47,26%,23,18.60%
6391,4791,11,26%,2,0.75%
6392,9028,48,14%,37,57.13%
6393,5825,24,16%,5,0.62%
6394,5593,47,32%,18,0.72%
6395,5461,33,9%,31,12.07%
6396,1832,22,7%,14,44.27%
6397,7434,47,32%,36,79.03%
6398,7707,23,29%,8,4.36%
